iter	Passed	Remaining
579	32587	23597
580	32648	23544
581	32703	23488
582	32782	23448
583	32834	23388
584	32909	23346
585	32965	23289
586	33031	23240
587	33091	23186
588	33137	23123
589	33184	23060
590	33246	23008
591	33292	22944
592	33343	22885
593	33388	22820
594	33430	22754
595	33480	22694
596	33535	22638
597	33604	22590
598	33660	22533
599	33709	22472
600	33774	22422
601	33864	22388
602	33923	22334
603	33982	22280
604	34036	22222
605	34084	22160
606	34120	22091
607	34183	22039
608	34232	21978
609	34284	21919
610	34325	21853
611	34360	21784
612	34405	21720
613	34451	21658
614	34500	21597
615	34562	21545
616	34618	21489
617	34675	21433
618	34721	21371
619	34774	21313
620	34822	21252
621	34879	21197
622	34933	21139
623	34982	21079
624	35038	21023
625	35110	20976
626	35171	20923
627	35249	20880
628	35426	20895
629	35516	20858
630	35561	20796
631	35608	20733
632	35660	20675
633	35718	20619
634	35796	20575
635	35846	20516
636	35899	20457
637	35951	20398
638	35996	20336
639	36056	20281
640	36115	20227
641	36182	20176
642	36245	20123
643	36354	20096
644	36488	20082
645	36545	20026
646	36591	19963
647	36633	19899
648	36682	19839
649	36745	19786
650	36790	19723
651	36869	19678
652	36937	19628
653	37026	19588
654	37095	19538
655	37135	19473
656	37171	19406
657	37210	19340
658	37266	19283
659	37323	19227
660	37388	19175
661	37443	19117
662	37486	19054
663	37533	18992
664	37585	18934
665	37636	18874
666	37680	18812
667	37727	18750
668	37784	18694
669	37837	18636
670	37890	18578
671	37934	18515
672	37981	18454
673	38033	18395
674	38075	18332
675	38125	18273
676	38174	18213
677	38236	18159
678	38312	18112
679	38439	18089
680	38542	18054
681	38668	18029
682	38833	18023
683	38919	17980
684	39039	17952
685	39129	17910
686	39326	17917
687	39436	17884
688	39544	17849
689	39740	17854
690	39876	17832
691	39965	17788
692	40138	17781
693	40277	17759
694	40373	17717
695	40439	17663
696	40562	17633
697	40682	17601
698	40746	17546
699	40944	17547
700	41038	17504
701	41224	17499
702	41343	17466
703	41431	17420
704	41650	17428
705	42035	17504
706	42356	17553
707	42507	17531
708	42614	17490
709	42708	17444
710	42827	17408
711	42929	17364
712	43007	17311
713	43116	17270
714	43194	17217
715	43259	17158
716	43311	17095
717	43374	17035
718	43443	16978
719	43497	16915
720	43554	16854
721	43632	16800
722	43695	16740
723	43775	16687
724	43842	16629
725	43920	16576
726	44024	16531
727	44160	16499
728	44307	16470
729	44414	16427
730	44504	16377
731	44699	16365
732	44829	16329
733	44987	16303
734	45066	16248
735	45136	16190
736	45180	16122
737	45236	16059
738	45273	15989
739	45309	15919
740	45347	15850
741	45392	15783
742	45430	15714
743	45468	15645
744	45508	15576
745	45550	15509
746	45592	15441
747	45635	15374
748	45674	15306
749	45733	15244
750	45797	15184
751	45843	15118
752	45886	15051
753	45923	14983
754	45997	14926
755	46046	14861
756	46088	14794
757	46127	14726
758	46170	14660
759	46208	14592
760	46252	14525
761	46289	14457
762	46325	14389
763	46381	14327
764	46424	14261
765	46461	14193
766	46501	14126
767	46546	14060
768	46593	13996
769	46637	13930
770	46691	13868
771	46735	13802
772	46818	13748
773	46879	13688
774	46947	13630
775	47018	13572
776	47067	13508
777	47132	13449
778	47178	13384
